team,game_1,game_2,game_3,game_4,game_5,game_6,game_7,game_8,average_distance_travelled_per_away_game,total_distance_travelled
Villarreal,1511,0,0,0,1283,1095,986,0,1219,4875
Manchester City,0,0,0,1723,294,1812,0,0,1276,3829
Lazio,1689,1308,0,0,0,1173,1434,0,1401,5604
Union Berlin,1050,576,688,0,0,0,0,0,771,2314
Atlético de Madrid,1485,0,0,0,816,1287,1671,0,1315,5259
Bayern,0,0,0,1178,919,1520,348,0,991,3965
Ajax,668,0,0,0,232,803,1009,0,678,2712
Young Boys,337,747,0,0,0,121,986,0,548,2191
Benfica,502,0,0,0,1807,1713,2198,0,1555,6220
Real Madrid,0,0,0,1188,1786,1671,0,0,1548,4645
Lille,1251,243,0,0,0,2259,0,0,1251,3753
Fenerbahçe,2739,1987,1838,0,0,0,0,0,2188,6564
Juventus,584,0,0,0,708,1783,0,0,1025,3075
Paris Saint-Germain,0,0,0,1007,413,1244,0,0,888,2664
Crvena zvezda,1445,660,0,0,0,1003,1692,0,1200,4800
Flora Tallinn,1859,1512,1412,0,0,0,0,0,1594,4783
Liverpool,0,0,0,1392,1288,3453,0,0,2044,6133
Marseille,1281,1009,0,0,0,2625,1009,0,1481,5924
Ferencváros,1685,1213,2326,0,0,0,0,0,1741,5224
Barcelona,1139,0,0,0,859,502,0,0,833,2500
Chelsea,0,0,0,919,1692,932,1692,0,1309,5235
Salzburg,1032,567,0,0,0,432,0,0,677,2031
Fiorentina,1209,470,1484,0,0,0,0,0,1054,3163
Inter,0,0,0,1188,829,213,348,0,644,2578
Feyenoord,797,0,0,0,321,498,720,0,584,2336
Real Betis,1547,1636,0,0,0,1615,0,0,1599,4798
Arsenal,919,0,0,0,321,1449,1434,0,1031,4123
Union SG,689,1374,0,0,0,1599,0,0,1221,3662
Tottenham Hotspur,1139,0,0,0,1002,1784,0,0,1308,3925
LASK,1224,886,0,0,0,473,1671,0,1064,4254
Bayer 04 Leverkusen,1443,0,0,0,915,871,0,0,1076,3229
SC Freiburg,1246,770,475,0,0,0,0,0,830,2491
Shakhtar Donetsk,2198,0,0,0,1233,2176,2198,0,1951,7805
Monaco,1489,814,0,0,0,2467,0,0,1590,4770
Rangers,1793,0,0,0,1966,1582,720,0,1515,6061
Adana Demirspor,3080,3612,2887,0,0,0,0,0,3193,9579
