team,game_1,game_2,game_3,game_4,game_5,game_6,game_7,game_8,game_9,game_10,average_distance_travelled_per_away_game,total_distance_travelled
Barcelona,725,0,0,0,0,1196,532,1499,0,0,988,3952
Inter,0,0,0,0,1547,973,1489,886,877,0,1154,5772
Benfica,1683,0,0,0,0,2198,1863,1633,0,0,1844,7377
Club Brugge,776,264,803,0,0,0,0,66,0,0,477,1909
Union Berlin,842,2312,1203,1175,0,0,0,0,0,0,1383,5532
Liverpool,1178,0,0,0,0,729,1124,3733,0,0,1691,6764
Bayern,0,0,0,0,1485,307,841,561,0,0,798,3194
Arsenal,919,498,0,0,0,0,235,1692,1434,0,956,4778
Real Sociedad,1179,960,0,0,0,0,1722,534,0,0,1099,4395
Rennes,983,393,632,0,0,0,0,320,877,0,641,3205
Real Madrid,0,0,0,0,1457,1263,1313,988,1263,0,1257,6284
Ajax,1481,200,0,0,0,0,1129,2162,0,0,1243,4972
Lyon,913,942,617,0,0,0,0,1779,665,0,983,4916
Olympiacos,2367,2023,2136,803,0,0,0,0,2624,0,1991,9953
Sevilla,1442,0,0,0,0,1869,313,1637,0,0,1315,5261
Paris Saint-Germain,0,0,0,0,629,1453,1105,284,0,0,868,3471
Shakhtar Donetsk,745,0,0,0,0,721,289,2882,0,0,1159,4637
Salzburg,798,1032,1481,0,0,0,0,1013,665,0,998,4989
Crvena zvezda,1445,1416,718,0,0,0,0,1450,718,0,1149,5747
Villarreal,1510,0,0,0,0,1283,789,750,1979,0,1262,6311
Copenhagen,1033,572,1532,0,0,0,0,2791,1979,0,1581,7907
Monaco,1317,1031,629,1508,0,0,0,0,0,0,1121,4485
Manchester United,0,0,0,0,1689,808,569,2624,2624,0,1663,8314
Bayer 04 Leverkusen,684,1350,0,0,0,0,915,503,0,0,863,3452
Sporting CP,1723,1863,0,0,0,0,1388,2312,0,0,1822,7286
Dinamo Tbilisi,3683,3738,3787,2127,0,0,0,0,0,0,3334,13335
Roma,0,0,0,0,859,1434,658,1308,1434,0,1139,5693
Borussia Dortmund,1135,0,0,0,0,666,575,946,0,0,830,3322
PSV,1187,1814,1814,0,0,0,0,1332,709,0,1371,6856
Brighton,1385,923,242,0,0,0,0,3541,0,0,1523,6091
Atalanta,1593,818,0,0,0,0,709,902,709,0,946,4731
Rangers,2058,555,0,0,0,0,806,1582,0,0,1250,5001
Ferencváros,2326,957,1100,0,0,0,0,995,0,0,1344,5378
West Ham,1139,1585,0,0,0,0,735,932,1263,0,1131,5654
Lazio,859,1079,0,0,0,0,1193,808,718,0,931,4657
Lille,1030,323,1633,0,0,0,0,745,0,0,933,3731
