match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,result
KO-PO 1,Lyon,44.0,Lyon,FRA,Barcelona,85.0,Barcelona,ESP,Barcelona
KO-PO 2,Tottenham Hotspur,54.0,London,ENG,Monaco,24.0,Monaco,FRA,Tottenham Hotspur
KO-PO 3,Liverpool,107.0,Liverpool,ENG,Inter,99.0,Milan,ITA,Inter
KO-PO 4,RB Leipzig,96.0,Leipzig,GER,Eintracht Frankfurt,60.0,Frankfurt,GER,Eintracht Frankfurt
KO-PO 5,Braga,49.0,Braga,POR,Salzburg,50.0,Salzburg,AUT,Braga
KO-PO 6,Club Brugge,56.0,Bruges,BEL,Galatasaray,31.5,Istanbul,TUR,Club Brugge
KO-PO 7,AC Milan,53.0,Milan,ITA,Dynamo Kyiv,26.5,Bucharest,UKR,Dynamo Kyiv
KO-PO 8,Roma,91.0,Rome,ITA,Manchester United,92.0,Manchester,ENG,Roma
R16-M1,Arsenal,68.0,London,ENG,Barcelona,85.0,Barcelona,ESP,Barcelona
R16-M2,West Ham,65.0,London,ENG,Tottenham Hotspur,54.0,London,ENG,West Ham
R16-M3,Villarreal,80.0,Villarreal,ESP,Inter,99.0,Milan,ITA,Inter
R16-M4,Paris Saint-Germain,108.0,Paris,FRA,Eintracht Frankfurt,60.0,Frankfurt,GER,Eintracht Frankfurt
R16-M5,Juventus,80.0,Turin,ITA,Braga,49.0,Braga,POR,Braga
R16-M6,Real Madrid,123.0,Madrid,ESP,Club Brugge,56.0,Bruges,BEL,Real Madrid
R16-M7,Sevilla,84.0,Seville,ESP,Dynamo Kyiv,26.5,Bucharest,UKR,Sevilla
R16-M8,Crvena zvezda,40.0,Belgrade,SRB,Roma,91.0,Rome,ITA,Roma
QF-1,Barcelona,85.0,Barcelona,ESP,West Ham,65.0,London,ENG,West Ham
QF-2,Inter,99.0,Milan,ITA,Eintracht Frankfurt,60.0,Frankfurt,GER,Eintracht Frankfurt
QF-3,Braga,49.0,Braga,POR,Real Madrid,123.0,Madrid,ESP,Braga
QF-4,Sevilla,84.0,Seville,ESP,Roma,91.0,Rome,ITA,Roma
SF-1,West Ham,65.0,London,ENG,Eintracht Frankfurt,60.0,Frankfurt,GER,Eintracht Frankfurt
SF-2,Braga,49.0,Braga,POR,Roma,91.0,Rome,ITA,Braga
Final,Eintracht Frankfurt,60.0,Frankfurt,GER,Braga,49.0,Braga,POR,Braga
