team_name,association,uefa_coefficient,city,pot
Atlético de Madrid,ESP,73.0,Madrid,1
Manchester City,ENG,130.0,Manchester,1
Real Madrid,ESP,112.0,Madrid,1
Paris Saint-Germain,FRA,101.0,Paris,1
Liverpool,ENG,100.0,Liverpool,1
Manchester United,ENG,91.0,Manchester,1
Roma,ITA,86.0,Rome,1
Sevilla,ESP,84.0,Seville,1
Juventus,ITA,80.0,Turin,1
Borussia Dortmund,GER,75.0,Dortmund,2
Napoli,ITA,71.0,Naples,2
Benfica,POR,69.0,Lisbon,2
Villarreal,ESP,68.0,Villarreal,2
Ajax,NED,64.0,Amsterdam,2
Rangers,SCO,52.0,Glasgow,2
Club Brugge,BEL,48.0,Bruges,2
AZ Alkmaar,NED,48.0,Alkmaar,2
Sporting CP,POR,45.5,Lisbon,2
Lyon,FRA,44.0,Lyon,3
Lazio,ITA,43.0,Rome,3
Crvena zvezda,SRB,40.0,Belgrade,3
Rennes,FRA,37.0,Rennes,3
Marseille,FRA,34.0,Marseille,3
Real Betis,ESP,31.0,Seville,3
Celtic,SCO,30.0,Glasgow,3
Qarabağ,AZE,26.0,Baku,3
VfL Wolfsburg,GER,22.5,Wolfsburg,3
Mönchengladbach,GER,21.0,Mönchengladbach,4
Union Berlin,GER,21.0,Berlin,4
Aston Villa,ENG,18.635,Birmingham,4
Newcastle,ENG,18.635,Newcastle upon Tyne,4
H. Beer Sheva,ISR,17.0,Beer Sheva,4
Rapid Wien,AUT,14.0,Vienna,4
Pyunik,ARM,9.5,Yerevan,4
Ordabasy,KAZ,4.0,Shymkent,4
Víkingur Reykjavík,ISL,4.0,Reykjavík,4
